simp_word,trad_word,freq,pinyin
更上一层楼,更上一層樓,4472,geng shang yi ceng lou
民以食为天,民以食爲天,3900,min yi shi wei tian
任重而道远,任重而道遠,3742,ren zhong er dao yuan
一言以蔽之,一言以蔽之,2183,yi yan yi bi zhi
润物细无声,潤物細無聲,2009,run wu xi wu sheng
十年磨一剑,十年磨一劍,1660,shi nian mo yi jian
物以稀为贵,物以稀爲貴,1403,wu yi xi wei gui
咬定青山不放松,咬定青山不放鬆,1358,yao ding qing shan bu fang song
一年之计在于春,一年之計在於春,1227,yi nian zhi ji zai yu chun
弹指一挥间,彈指一揮間,1184,dan zhi yi hui jian
老吾老以及人之老,老吾老以及人之老,1103,lao wu lao yi ji ren zhi lao
庐山真面目,廬山真面目,1098,lu shan zhen mian mu
犹抱琵琶半遮面,猶抱琵琶半遮面,1082,you bao pi pa ban zhe mian
每逢佳节倍思亲,每逢佳節倍思親,1038,mei feng jia jie bei si qin
近水楼台先得月,近水樓臺先得月,962,jin shui lou tai xian de yue
醉翁之意不在酒,醉翁之意不在酒,907,zui weng zhi yi bu zai jiu
先天下之忧而忧,先天下之憂而憂,900,xian tian xia zhi you er you
难于上青天,難於上青天,839,nan yu shang qing tian
雄关漫道真如铁,雄關漫道真如鐵,831,xiong guan man dao zhen ru tie
后天下之乐而乐,後天下之樂而樂,790,hou tian xia zhi le er le
有朋自远方来,有朋自遠方來,786,you peng zi yuan fang lai
飞入寻常百姓家,飛入尋常百姓家,771,fei ru xun chang bai xing jia
术业有专攻,術業有專攻,763,shu ye you zhuan gong
孔雀东南飞,孔雀東南飛,737,kong que dong nan fei
勿以善小而不为,勿以善小而不爲,731,wu yi shan xiao er bu wei
学而优则仕,學而優則仕,706,xue er you ze shi
清明时节雨纷纷,清明時節雨紛紛,699,qing ming shi jie yu fen fen
欲速则不达,欲速則不達,685,yu su ze bu da
老死不相往来,老死不相往來,678,lao si bu xiang wang lai
而今迈步从头越,而今邁步從頭越,677,er jin mai bu cong tou yue
养在深闺人未识,養在深閨人未識,676,yang zai shen gui ren wei shi
人间正道是沧桑,人間正道是滄桑,639,ren jian zheng dao shi cang sang
风景这边独好,風景這邊獨好,628,feng jing zhe bian du hao
幼吾幼以及人之幼,幼吾幼以及人之幼,628,you wu you yi ji ren zhi you
语不惊人死不休,語不驚人死不休,617,yu bu jing ren si bu xiu
高处不胜寒,高處不勝寒,599,gao chu bu sheng han
春江水暖鸭先知,春江水暖鴨先知,597,chun jiang shui nuan ya xian zhi
勿以恶小而为之,勿以惡小而爲之,590,wu yi e xiao er wei zhi
不拘一格降人才,不拘一格降人才,577,bu ju yi ge jiang ren cai
解铃还须系铃人,解鈴還須繫鈴人,575,jie ling hai xu xi ling ren
春风吹又生,春風吹又生,569,chun feng chui you sheng
君子之交淡如水,君子之交淡如水,568,jun zi zhi jiao dan ru shui
长江后浪推前浪,長江後浪推前浪,543,chang jiang hou lang tui qian lang
行百里者半九十,行百里者半九十,536,xing bai li zhe ban jiu shi
铁肩担道义,鐵肩擔道義,528,tie jian dan dao yi
路漫漫其修远兮,路漫漫其修遠兮,523,lu man man qi xiu yuan xi
长风破浪会有时,長風破浪會有時,522,chang feng po lang hui you shi
本是同根生,本是同根生,519,ben shi tong gen sheng
小桥流水人家,小橋流水人家,516,xiao qiao liu shui ren jia
一览众山小,一覽衆山小,514,yi lan zhong shan xiao
为有源头活水来,爲有源頭活水來,513,wei you yuan tou huo shui lai
出淤泥而不染,出淤泥而不染,509,chu yu ni er bu ran
柳暗花明又一村,柳暗花明又一村,507,liu an hua ming you yi cun
忽如一夜春风来,忽如一夜春風來,497,hu ru yi ye chun feng lai
天堑变通途,天塹變通途,490,tian qian bian tong tu
粒粒皆辛苦,粒粒皆辛苦,489,li li jie xin ku
相煎何太急,相煎何太急,479,xiang jian he tai ji
必先利其器,必先利其器,473,bi xian li qi qi
天涯共此时,天涯共此時,464,tian ya gong ci shi
风物长宜放眼量,風物長宜放眼量,463,feng wu zhang yi fang yan liang
工欲善其事,工欲善其事,457,gong yu shan qi shi
山雨欲来风满楼,山雨欲來風滿樓,454,shan yu yu lai feng man lou
乱花渐欲迷人眼,亂花漸欲迷人眼,449,luan hua jian yu mi ren yan
学而不思则罔,學而不思則罔,436,xue er bu si ze wang
直挂云帆济沧海,直掛雲帆濟滄海,423,zhi gua yun fan ji cang hai
敢教日月换新天,敢教日月換新天,420,gan jiao ri yue huan xin tian
天涯若比邻,天涯若比鄰,409,tian ya ruo bi lin
几家欢乐几家愁,幾家歡樂幾家愁,409,ji jia huan le ji jia chou
不患寡而患不均,不患寡而患不均,406,bu huan gua er huan bu jun
思而不学则殆,思而不學則殆,404,si er bu xue ze dai
野火烧不尽,野火燒不盡,398,ye huo shao bu jin
